year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Total Employment in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,Real GDP (Biillion),Nominal GDP
1976,Oregon,2.3,10.46,2.2,10,2.3,10.46,56.9,1739583.333,1096036.083,994420.0833,101616,9.266666667,1873.4,6387.4
1976,Pennsylvania,2.2,10,2.2,10,2.2,10,56.9,8807166.667,5138443,4726784.167,411658.8333,8.008333333,1873.4,6387.4
1976,Rhode Island,2.3,10.46,2.2,10,2.3,10.46,56.9,695750,441462.5,406169.0833,35293.41667,8.008333333,1873.4,6387.4
1976,South Carolina,0,0,2.2,10,2.2,10,56.9,2007416.667,1299242.083,1208131.833,91110.25,7.025,1873.4,6387.4
1976,South Dakota,2,9.09,2.2,10,2.2,10,56.9,480583.3333,310519.5,300226.25,10293.25,3.316666667,1873.4,6387.4
1976,Tennessee,0,0,2.2,10,2.2,10,56.9,3112916.667,1859821.25,1746418,113403.25,6.1,1873.4,6387.4
1976,Texas,1.4,6.36,2.2,10,2.2,10,56.9,8957666.667,5709212,5376181.417,333030.5833,5.816666667,1873.4,6387.4
1976,Utah,1.55,7.05,2.2,10,2.2,10,56.9,836416.6667,525405,495963.3333,29441.66667,5.608333333,1873.4,6387.4
1976,Vermont,2.3,10.46,2.2,10,2.3,10.46,56.9,342916.6667,217968.0833,199941.5,18026.58333,8.258333333,1873.4,6387.4
1976,Virginia,2,9.09,2.2,10,2.2,10,56.9,3578083.333,2341579.333,2203985.167,137594.1667,5.866666667,1873.4,6387.4
1976,Washington,2.2,10,2.2,10,2.2,10,56.9,2633666.667,1617187.167,1475063.417,142123.75,8.783333333,1873.4,6387.4
1976,West Virginia,2,9.09,2.2,10,2.2,10,56.9,1366916.667,708148.5,657111.5833,51036.91667,7.225,1873.4,6387.4
1976,Wisconsin,2.1,9.55,2.2,10,2.2,10,56.9,3266333.333,2145221,2027325.917,117895.0833,5.508333333,1873.4,6387.4
1976,Wyoming,1.6,7.27,2.2,10,2.2,10,56.9,275500,180625.8333,173663.4167,6962.416667,3.858333333,1873.4,6387.4
1977,Alabama,0,0,2.2,9.39,2.2,9.39,60.6,2688916.667,1564380,1452653.833,111726.1667,7.15,2081.8,6682.8
1977,Alaska,2.8,11.95,2.2,9.39,2.8,11.95,60.6,248083.3333,173473.4167,156313.6667,17159.75,9.891666667,2081.8,6682.8
1977,Arizona,0,0,2.2,9.39,2.2,9.39,60.6,1726250,1043300.333,955840.4167,87459.91667,8.4,2081.8,6682.8
1977,Arkansas,1.9,8.11,2.2,9.39,2.2,9.39,60.6,1581916.667,924689.75,864791.8333,59897.91667,6.475,2081.8,6682.8
1977,California,2,8.54,2.2,9.39,2.2,9.39,60.6,16277916.67,10376877.08,9507517.083,869360,8.391666667,2081.8,6682.8
1977,Colorado,1,4.27,2.2,9.39,2.2,9.39,60.6,1923666.667,1294374.417,1212184.333,82190.08333,6.35,2081.8,6682.8
1977,Connecticut,2.21,9.43,2.2,9.39,2.21,9.43,60.6,2286000,1484460.417,1380704.5,103755.9167,6.991666667,2081.8,6682.8
1977,Delaware,2,8.54,2.2,9.39,2.2,9.39,60.6,428583.3333,272074.8333,249829,22245.83333,8.183333333,2081.8,6682.8
1977,District of Columbia,2.25,9.6,2.2,9.39,2.25,9.6,60.6,512500,327910.5,299603.8333,28306.66667,8.625,2081.8,6682.8
1977,Florida,0,0,2.2,9.39,2.2,9.39,60.6,6720166.667,3725780.333,3417601.25,308179.0833,8.275,2081.8,6682.8
1977,Georgia,1.25,5.34,2.2,9.39,2.2,9.39,60.6,3646333.333,2329030.083,2167591.583,161438.5,6.933333333,2081.8,6682.8
1977,Hawaii,2.4,10.24,2.2,9.39,2.4,10.24,60.6,608916.6667,416465.75,384739.5,31726.25,7.616666667,2081.8,6682.8
1977,Idaho,1.6,6.83,2.2,9.39,2.2,9.39,60.6,611000,396784.5,373576.5,23208,5.85,2081.8,6682.8
1977,Illinois,2.1,8.96,2.2,9.39,2.2,9.39,60.6,8280750,5287937.917,4959808.833,328129.0833,6.191666667,2081.8,6682.8
1977,Indiana,1.25,5.34,2.2,9.39,2.2,9.39,60.6,3868416.667,2485406.333,2342145.917,143260.4167,5.766666667,2081.8,6682.8
1977,Iowa,0,0,2.2,9.39,2.2,9.39,60.6,2109250,1386063.833,1330383,55680.83333,4.008333333,2081.8,6682.8
1977,Kansas,0,0,2.2,9.39,2.2,9.39,60.6,1673666.667,1109547.25,1066606.5,42940.75,3.875,2081.8,6682.8
1977,Kentucky,1.6,6.83,2.2,9.39,2.2,9.39,60.6,2538166.667,1538069,1463584.083,74484.91667,4.85,2081.8,6682.8
1977,Louisiana,0,0,2.2,9.39,2.2,9.39,60.6,2775416.667,1602197.083,1490986.667,111210.4167,6.933333333,2081.8,6682.8
1977,Maine,2.3,9.82,2.2,9.39,2.3,9.82,60.6,790083.3333,480484.6667,440322.1667,40162.5,8.358333333,2081.8,6682.8
1977,Maryland,2.2,9.39,2.2,9.39,2.2,9.39,60.6,3030250,1969801.417,1849645.25,120156.1667,6.108333333,2081.8,6682.8
